director,drama_name,rank,pop,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score
Han Dong Hwa,38 Task Force,1686,697,8.3,9.0,8.2,6.2,8.4
Han Dong Hwa,Bad Guys: City of Evil,3899,1626,7.9,8.3,8.4,6.5,8.0
Han Dong Hwa,Miss Lee,7178,5178,6.3,9.0,5.0,4.8,5.8
Han Dong Hwa,Navillera,64,243,8.9,9.4,8.9,8.7,9.0
Han Dong Hwa,Shadow Detective,2602,3458,8.6,9.4,8.4,8.4,8.6
Han Dong Hwa,Shadow Detective Season 2,2443,6915,7.5,8.2,6.0,4.5,7.2
"Han Hee, Kim Sung Wook","Good-bye, Mr. Black",5656,1325,6.7,7.7,6.6,4.5,6.8
"Han Hee, Yoon Sung Shik",Oasis,4053,1519,7.8,9.0,8.3,7.1,7.9
Han Hyun Hee,Imitation,2051,343,7.5,7.8,7.9,5.8,7.5
Han Jae Woon,Discipline,8610,3043,7.3,8.1,5.8,5.2,7.0
Han Jae Woon,Discipline Z: Vampire,9165,2730,6.4,5.7,7.3,3.5,5.8
Han Ji Seung,Mistress,1822,1811,8.8,8.5,8.3,5.7,8.3
Han Ji Seung,When the Weather Is Fine,1231,183,6.9,8.2,7.5,5.3,7.4
Han Ji Won,Amanza,769,2803,8.7,9.4,8.4,7.1,8.9
Han Joon Seo,"Beautiful Love, Wonderful Life",3137,1565,8.2,9.0,7.9,6.5,8.1
Han Jun Hee,D.P. Season 2,164,1084,8.0,9.5,8.8,6.8,8.4
Han Ka Ram,Bite Sisters,6014,2457,6.3,8.6,6.4,5.1,6.9
Han Sang Jae,A Poem a Day,2749,694,7.4,8.5,8.0,5.3,7.9
Han Sang Woo,Black Knight: The Man Who Guards Me,7413,989,4.7,6.0,8.1,3.0,5.1
Han Sang Woo,"My Lawyer, Mr. Jo 2: Crime and Punishment",51458,7997,5.5,6.8,6.2,5.2,6.8
Han Soo Ji,A-Teen,1798,486,8.2,8.8,9.3,8.3,8.7
Han Soo Ji,A-Teen Season 2,2232,888,7.9,8.7,8.6,6.7,8.2
Han Soo Ji,Between Friendship and Love,6205,4938,6.8,6.7,6.3,5.0,6.5
Han Soo Ji,Mimicus,4276,2830,8.9,8.6,8.2,7.8,8.8
Han Soo Ji,Office Watch,6897,9591,7.8,8.0,6.7,6.7,7.5
Han Soo Ji,Twenty-Twenty,2103,1063,8.8,8.8,8.9,8.3,8.8
Han Tae Seob,Cheer Up,5420,498,6.3,8.3,7.9,5.0,7.0
Han Woo Im,Behind Cut,8575,1006,4.5,7.0,6.4,3.0,5.8
Heo Chan,Summer Guys,5793,2694,8.1,7.1,7.0,5.0,7.9
Hong Chung Gi,Dok Go Bin Is Updating,5845,4687,6.8,7.3,6.2,4.5,7.0
Hong Chung Gi,Heartbeat Broadcasting Accident,5442,4546,6.6,7.5,5.6,5.6,6.9
Hong Chung Gi,Love in Black Hole,7803,4473,7.5,7.9,8.1,6.1,7.4
Hong Jong Chan,Dear My Friends,193,1083,9.6,10.0,9.2,7.5,9.6
Hong Jong Chan,Her Private Life,808,27,8.9,9.8,9.2,8.8,9.1
Hong Jong Chan,Juvenile Justice,380,424,8.4,9.5,9.0,6.6,8.6
Hong Jong Chan,"Link: Eat, Love, Kill",1710,303,6.6,8.7,6.7,4.6,6.8
Hong Jong Chan,Live Up to Your Name,1163,454,8.7,9.8,9.0,7.9,8.9
Hong Jong Chan,Loss Time Life,55809,8748,7.5,6.0,5.5,6.0,6.5
Hong Jong Chan,The Most Beautiful Goodbye,1485,3505,8.8,9.2,8.6,5.4,8.6
"Hong Jong Chan, Im Hyun Wook",Life,1897,683,9.2,9.8,8.2,8.0,9.3
Hong Seok Goo,Girls' Generation 1979,1601,1516,9.0,9.2,9.0,8.0,9.2
Hong Seok Goo,Homemade Love Story,3597,3130,8.1,9.3,8.6,6.7,8.9
Hong Seok Goo,My Only One,4721,2921,6.8,8.0,6.8,5.6,6.8
"Hong Seok Goo, Kim Jung Min",Ms. Perfect,6105,2953,6.9,7.7,6.3,4.9,7.2
"Hong Sung Chang, Lee Kwang Young",Entertainer,4029,671,7.9,8.4,8.7,6.6,7.9
Hong Won Gi,Goedam,9027,2117,7.0,7.4,6.8,6.2,6.6
"Hur Jin Ho, Park Hong Soo",Lost,557,1101,9.2,9.5,9.0,9.1,9.1
Hwang  Gyung Sung,Dalgona,7827,4970,6.2,6.7,7.3,4.7,6.8
Hwang  Gyung Sung,Her Bucket List,6896,3634,7.3,7.6,7.4,4.5,7.2
Hwang  Gyung Sung,I Am...,8158,4040,6.1,6.1,5.7,4.4,5.9
Hwang  Gyung Sung,Love in Time,7962,5095,8.0,8.5,8.0,6.5,8.0
Hwang  Gyung Sung,My Chilling Roommate,7847,7160,5.0,6.0,5.0,1.0,4.5
Hwang  Gyung Sung,The Blue Sea,8683,9899,7.0,7.0,8.0,7.5,7.5
Hwang  Gyung Sung,Today Office Tomorrow Romance,7688,7313,5.0,6.5,5.0,3.0,3.0
Hwang Da Seul,Blueming,1715,367,8.6,8.9,8.3,7.2,8.6
Hwang Da Seul,To My Star,1708,211,8.5,8.7,8.2,7.9,8.1
Hwang Da Seul,To My Star Season 2: Our Untold Stories,1408,595,7.0,9.1,7.8,5.3,7.6
Hwang Da Seul,Where Your Eyes Linger,2300,152,7.6,8.3,7.5,7.0,7.7
Hwang Dong Hyuk,Squid Game,548,24,5.8,8.0,6.9,4.6,6.4
Hwang Eui Kyung,Mad Dog,759,359,8.8,9.6,8.9,7.8,8.8
Hwang In Hyuk,Assembly,4927,5731,6.8,6.7,6.0,6.3,6.8
Hwang In Hyuk,Moonshine,3609,1065,7.0,8.6,7.0,4.6,7.4
Hwang In Hyuk,The Gentlemen of Wolgyesu Tailor Shop,2660,2949,8.2,9.0,7.5,5.8,8.2
Hwang In Roe,Late Night Restaurant,3327,3914,9.4,9.4,8.9,9.3,9.4
Hwang Joon Hyuk,Black Dog,1281,1717,8.5,9.3,8.0,5.9,8.2
"Hwang Seung Gi, Choi Yeon Soo",Into the Ring,1278,776,9.3,9.6,7.9,7.7,9.0
Im Dae Woong,Search,1373,784,7.5,8.9,7.5,6.0,8.0
Im Hyun Wook,People You May Know,6402,4106,8.5,8.7,8.3,7.7,8.6
Im Hyun Wook,Reflection of You,5896,1945,7.5,9.3,8.5,6.1,7.8
"Im Hyun Wook, Choi Sun Min",King the Land,605,237,6.6,8.8,8.2,6.0,7.7
Im Ji Eun,IN-SEOUL,4493,3720,6.9,7.9,6.8,4.1,7.0
Im Ji Eun,IN-SEOUL Season 2,3273,4810,8.5,8.8,6.8,8.0,8.3
Im Jin Kang,Find Me if You Can,3914,4618,9.1,8.9,8.0,8.2,9.1
Im Se Joon,The Master of Revenge,5687,3966,7.2,8.8,7.0,2.7,7.3
Im Tae Woo,I Have Not Done My Best Yet,4167,2798,7.4,8.1,8.1,7.0,7.5
"Im Tae Woo, Jo Yong Won",Sketch,3497,1741,8.0,8.6,7.8,6.4,7.7
Jang Eui Soon,Unintentional Love Story,3286,778,8.4,8.9,8.5,8.3,8.8
Jang Joon Ho,The Game: Towards Zero,3052,958,6.6,7.8,7.4,4.8,6.6
Jang Joon Ho,Time,3777,1342,6.7,7.9,6.7,4.3,6.5
"Jang Joon Ho, Oh Hyun Chang",Iron Lady Cha,58155,14841,2.0,2.5,1.0,1.0,2.0
"Jang Joon Ho, Oh Kyung Hoon","Bad Thief, Good Thief",4768,2254,9.0,9.5,9.4,6.9,9.1
"Jang Joon Ho, Oh Kyung Hoon",Mom,48334,9706,4.0,4.5,1.0,1.0,4.0
"Jang Jung Do, Lee Jung Mook",Family: The Unbreakable Bond,4769,1361,5.1,7.7,6.7,3.2,5.9
"Jang Jung Do, So Jae Hyun",Dear My Room,3988,3039,8.3,8.9,7.6,7.2,8.3
Jang Kun Jae,Monstrous,5267,1423,6.3,8.0,7.2,5.0,7.0
Jang Tae Yoo,Genesis,48991,4122,7.8,8.2,7.8,7.2,7.0
Jang Tae Yoo,Hyena,1230,743,8.8,9.4,8.3,8.2,8.9
"Jang Tae Yoo, Nam Tae Jin",Lovers of the Red Sky,1413,372,6.5,7.0,7.2,5.1,6.2
Jang Yong Woo,D-Day,1077,568,9.2,9.8,9.0,8.4,9.4
Jang Young Woo,Bulgasal: Immortal Souls,1149,515,6.7,8.3,8.2,5.0,7.1
Jang Young Woo,Entourage,8888,1332,7.6,8.7,8.2,6.1,7.9
Jason Kim,Bloodhounds,261,444,7.2,9.0,7.4,5.8,7.8
Jeon Woo Sung,Bargain,6747,3602,8.0,9.2,6.2,5.6,7.0
Jeon Woo Sung,The Promise,4268,3441,8.5,8.8,7.8,3.0,8.5
"Jeon Woo Sung, Im Se Joon",Your House Helper,2984,1316,8.1,8.0,7.0,6.2,8.0
Jeong Dae Yun,I'm Not a Robot,718,20,8.9,9.5,8.5,8.8,9.2
Jeong Dae Yun,Reborn Rich,398,275,4.4,8.0,7.0,2.5,4.7
Jeong Dae Yun,She Was Pretty,1933,32,7.6,8.6,7.9,6.0,7.8
Jeong Dae Yun,W,511,6,6.7,7.5,7.3,5.1,6.9
Ji Byung Hyun,House of Bluebird,6037,3939,5.2,7.2,7.8,5.0,5.8
"Ji Byung Hyun, Goo Sung Joon","Meow, the Secret Boy",4884,371,6.9,8.5,8.7,6.0,7.3
"Ji Byung Hyun, Kang Min Kyung",Lovely Horribly,7867,960,5.9,6.4,6.5,3.6,6.0
Ji Young Soo,Falling for Innocence,1529,285,8.5,9.3,8.0,7.4,8.6
Ji Young Soo,High-end Crush,3805,535,8.3,9.0,7.6,7.5,8.7
Ji Young Soo,Room No. 9,3404,1990,8.8,9.1,6.3,7.6,8.4
"Ji Young Soo, Seong Do Joon",Uncle,1554,3101,7.5,8.6,7.4,6.2,7.7
Jin Chang Gyu,Bad Papa,4247,3398,7.2,8.4,6.5,4.0,7.2
Jin Chang Gyu,CHIP-IN,3155,3243,6.4,8.2,6.6,5.2,6.9
Jin Chang Gyu,Military Prosecutor Doberman,755,605,8.7,9.1,7.7,6.9,8.2
Jin Hyeok,Sisyphus: The Myth,3488,353,8.5,9.2,8.5,7.4,8.3
Jin Hyeok,The Legend of the Blue Sea,792,18,7.6,8.7,6.9,5.8,7.5
Jin Hyung Wook,Born Again,6812,916,9.0,9.5,9.2,7.0,9.0
Jin Hyung Wook,Red Balloon,6370,3648,6.0,7.2,6.8,4.2,5.8
Jin Hyung Wook,The Secret of My Love,55532,9287,4.2,5.5,2.8,1.0,2.2
"Jin Hyung Wook, Lee Hyun Suk",Liver or Die,4859,3936,6.6,7.9,6.7,4.5,6.8
Jo Chang Wan,Fluttering Warning,8659,2097,5.4,7.1,6.0,3.1,5.4
Jo Hyun Taek,Mirror of the Witch,4274,627,7.8,8.9,9.0,5.7,7.7
Jo Hyun Taek,SKY Castle,116,108,8.8,9.7,9.1,7.5,9.0
Jo Hyun Taek,Snowdrop,628,144,7.9,9.2,9.4,6.1,8.2
Jo Nam Gook,Fantastic,4701,1797,7.6,8.8,7.0,5.6,7.8
Jo Nam Gook,The Good Detective,802,843,7.8,8.8,7.4,6.0,7.9
Jo Nam Gook,The Good Detective Season 2,1685,2270,7.6,9.3,6.8,5.9,7.8
Jo Nam Gook,Untouchable,6594,3086,6.0,7.8,5.0,3.0,4.8
"Jo Nam Gook, Kim Sang Ho",Last,2416,2878,8.8,9.4,5.6,5.4,8.6
Jo Nam Hyung,A Superior Day,8314,2756,4.3,6.6,5.4,3.3,4.7
Jo Soo Won,Doctor John,495,282,7.4,8.8,7.3,5.8,7.5
Jo Soo Won,Go Ho's Starry Night,1480,500,7.2,8.3,7.3,5.5,6.4
Jo Soo Won,The Time We Were Not in Love,5880,670,7.2,7.4,5.9,4.0,6.7
Jo Soo Won,Thirty But Seventeen,543,102,8.9,8.8,8.8,7.9,8.8
Jo Soo Won,Today's Webtoon,2468,616,6.2,8.2,6.8,4.0,6.6
"Jo Soo Won, Lee Soo Hyun",Awaken,1092,800,9.8,9.8,9.0,9.0,9.7
Jo Woong,Justice,3485,2382,8.2,8.8,8.2,6.8,8.1
Jo Woong,Love All Play,693,430,7.8,8.8,8.2,6.2,8.1
Jo Yong Ik,Hope or Dope,2748,2064,8.2,8.4,8.1,7.4,7.9
Jo Yong Ik,Hope or Dope 2,2477,3553,8.8,9.6,7.0,6.1,8.5
Jo Young Kwang,Racket Boys,178,461,8.4,9.2,7.8,7.8,8.8
"Jo Young Kwang, Jung Dong Yoon",Defendant,210,380,8.0,9.6,8.2,6.5,8.4
"Jo Young Kwang, Jung Dong Yoon",Heart Surgeons,2204,2859,7.4,7.9,7.1,5.8,7.3
"Jo Young Kwang, Park Shin Woo","Hyde, Jekyll, Me",5881,308,6.2,7.3,6.1,5.0,6.4
Jo Young Min,Do You Like Brahms?,1815,409,7.3,8.8,9.2,5.8,7.8
Jo Young Min,Everything and Nothing,4085,2089,8.9,9.4,7.9,7.7,8.8
Jo Young Min,The Interest of Love,8348,1024,4.9,7.4,8.0,2.9,4.8
Joo Dong Min,Return,3310,2710,8.3,8.6,7.6,6.3,8.2
Joo Dong Min,The Family Is Coming,7995,4289,7.8,8.2,6.0,6.0,8.0
Joo Dong Min,The Last Empress,2012,474,6.9,8.5,7.5,4.9,7.0
Joo Dong Min,The Penthouse Season 2: War in Life,219,324,8.9,9.9,9.5,8.0,9.2
Joo Dong Min,The Penthouse Season 3: War in Life,1799,525,5.1,9.5,7.4,4.1,6.0
Joo Dong Min,The Penthouse: War in Life,190,162,7.5,8.3,7.3,5.3,7.5
Joo Sung Min,Oh! My Assistant,8460,1047,5.0,6.1,6.0,4.0,5.6
Joo Sung Woo,Man in the Kitchen,7370,4334,5.0,6.0,5.0,3.0,5.0
Joo Sung Woo,Monster,6389,2169,6.0,7.5,6.0,2.0,6.0
Jun Chang Geun,Artificial City,7610,3915,5.9,7.5,6.2,3.2,5.9
Jun Chang Geun,Mystic Pop-Up Bar,436,170,9.0,9.2,8.8,8.4,8.9
Jung Dong Yoon,Fates & Furies,5869,2621,8.8,9.3,7.8,7.9,8.8
Jung Dong Yoon,Hot Stove League,254,542,9.2,9.6,8.1,8.4,9.2
"Jung Hoon, Park Sang Woo",The Forbidden Marriage,780,698,7.4,8.1,7.5,6.1,7.2
Jung Hun Soo,Twelve Nights,6539,2492,7.3,8.1,7.5,5.6,7.1
Jung Hyo,Bravo My Life,5901,7614,6.9,7.2,6.5,4.7,6.5
Jung Hyo,Witch's Castle,59245,9382,1.5,1.5,1.0,1.0,1.5
Jung Ji Hyun,Lies Hidden in My Garden,3381,1843,7.5,8.9,8.2,5.9,7.7
"Jung Ji Hyun, Joo Sang Kyu",You Are My Spring,1884,630,6.9,8.7,7.8,5.6,6.7
"Jung Ji Hyun, Kim Seung Ho",Twenty-Five Twenty-One,122,79,9.0,10.0,9.5,7.9,9.3
"Jung Ji Hyun, Kwon Young Il",Search: WWW,785,125,7.5,8.3,8.6,5.9,7.8
"Jung Ji In, Song Yeon Hwa",The Red Sleeve,119,281,8.9,9.4,8.6,7.9,9.1
Jung Ji Woo,Somebody,8353,891,5.5,9.3,6.5,3.4,6.0
Jung Jung Hwa,Choco Bank,7819,1344,6.5,6.9,5.5,4.5,6.5
Jung Jung Hwa,My Absolute Boyfriend,6534,522,6.5,7.8,7.5,5.6,6.8
Jung Jung Hwa,The Best Moment To Quit Your Job,4652,4794,7.8,8.9,7.1,5.6,7.6
Jung Jung Hwa,Woo Ri the Virgin,9060,902,2.0,4.0,3.8,1.0,1.9
"Jung Jung Hwa, Kim Bo Kyung",The Wind Blows,2873,3872,8.8,9.4,8.3,7.0,8.9
Jung Sang Hee,"Fanletter, Please",1239,1414,8.8,9.1,8.2,8.2,8.7
Jung Sung Bin,Scene Number Paran,56347,99999,8.0,8.0,6.0,7.5,8.0
Jung Sung Bin,The Witch Store Reopening,6790,5299,5.5,4.2,5.4,4.6,5.4
Kang Cheol Woo,Cheo Yong Season 2,2586,3878,7.5,8.0,8.2,5.5,7.7
Kang Cheol Woo,My Secret Romance,4639,64,5.6,6.8,6.2,3.9,5.9
Kang Cheol Woo,Rugal,5160,775,6.0,8.0,6.5,4.8,6.7
Kang Cheol Woo,So I Married an Anti-Fan,2233,185,6.8,7.8,7.2,5.6,7.2
Kang Cheol Woo,Something About 1 Percent,1342,204,8.6,9.3,8.5,8.5,9.0
Kang Dae Sun,"Sweet, Savage Family",7123,4165,6.8,7.5,5.2,4.5,6.8
Kang Dong Hee,One Fine Week,2361,1485,7.5,8.2,7.1,6.5,8.0
Kang Dong Hee,One Fine Week Season 2,3394,2667,6.5,8.0,7.7,5.5,7.4
Kang Ho Jun,Queen of Masks,6516,5979,7.0,7.4,6.7,5.3,6.8
Kang Hyo Jin,Team Bulldog: Off-duty Investigation,919,1671,9.2,9.5,8.3,7.9,9.2
